modelo,nome,posto,perna,fila,processo,entrada,saida,duracao
Atego (ATP),Atego (ATP)_0,30A,1,0.0,326.0,330.0,656.0,326.0
Atego,Atego_1,30A,1,0.0,314.0,660.0,974.0,314.0
Atego (ATP),Atego (ATP)_0,31A,1,0.0,330.0,656.0,986.0,330.0
Atego,Atego_1,31A,1,12.0,314.0,986.0,1300.0,314.0
Atego,Atego_2,30A,1,0.0,314.0,990.0,1304.0,314.0
Atego,Atego_2,31A,1,0.0,314.0,1304.0,1618.0,314.0
Atego (ATP),Atego (ATP)_0,32A,1,0.0,677.0,986.0,1663.0,677.0
Accelo,Accelo_4,30A,1,0.0,253.0,1650.0,1903.0,253.0
Actros,Actros_3,30B,2,0.0,752.0,1320.0,2072.0,752.0
Atego,Atego_1,32A,1,363.0,414.0,1663.0,2077.0,414.0
Accelo,Accelo_4,31A,1,0.0,316.0,1903.0,2219.0,316.0
Accelo,Accelo_5,30A,1,0.0,253.0,1980.0,2233.0,253.0
Atego (ATP),Atego (ATP)_0,32C,1,0.0,815.0,1663.0,2478.0,815.0
Atego,Atego_2,32A,1,459.0,414.0,2077.0,2491.0,414.0
Accelo,Accelo_5,31A,1,0.0,316.0,2233.0,2549.0,316.0
Atego,Atego_6,30A,1,0.0,314.0,2310.0,2624.0,314.0
Actros,Actros_3,31B,2,0.0,555.0,2072.0,2627.0,555.0
Accelo,Accelo_4,32A,1,272.0,354.0,2491.0,2845.0,354.0
Atego (ATP),Atego (ATP)_0,33A,1,0.0,376.0,2478.0,2854.0,376.0
Atego,Atego_6,31A,1,0.0,314.0,2624.0,2938.0,314.0
Atego (ATP),Atego (ATP)_7,30B,2,0.0,326.0,2640.0,2966.0,326.0
Atego,Atego_1,32C,1,401.0,544.0,2478.0,3022.0,544.0
Accelo,Accelo_5,32A,1,296.0,354.0,2845.0,3199.0,354.0
Atego,Atego_8,30A,1,0.0,314.0,2970.0,3284.0,314.0
Atego (ATP),Atego (ATP)_7,31B,2,0.0,330.0,2966.0,3296.0,330.0
Atego,Atego_1,33A,1,0.0,428.0,3022.0,3450.0,428.0
Atego (ATP),Atego (ATP)_0,34A,1,0.0,650.0,2854.0,3504.0,650.0
Atego,Atego_2,32C,1,531.0,544.0,3022.0,3566.0,544.0
