modelo,nome,posto,entrada,saida,duracao,perna
Accelo,Accelo_0,30A,330.0,583.0,253.0,1
Accelo,Accelo_0,31A,583.0,899.0,316.0,1
Atego (ATP),Atego (ATP)_1,30B,660.0,986.0,326.0,2
Accelo,Accelo_2,30A,990.0,1243.0,253.0,1
Accelo,Accelo_0,32A,899.0,1253.0,354.0,1
Atego (ATP),Atego (ATP)_1,31B,986.0,1316.0,330.0,2
Accelo,Accelo_2,31A,1243.0,1559.0,316.0,1
Atego (ATP),Atego (ATP)_1,32B,1316.0,1873.0,557.0,2
Accelo,Accelo_5,30A,1650.0,1903.0,253.0,1
Accelo,Accelo_2,32A,1559.0,1913.0,354.0,1
Accelo,Accelo_0,32C,1253.0,1966.0,713.0,1
Actros,Actros_3,30B,1320.0,2072.0,752.0,2
Accelo,Accelo_5,31A,1903.0,2219.0,316.0,1
Atego (ATP),Atego (ATP)_6,30A,1980.0,2306.0,326.0,1
Accelo,Accelo_0,33A,1966.0,2335.0,369.0,1
Accelo,Accelo_5,32A,2219.0,2573.0,354.0,1
Atego,Atego_8,30B,2310.0,2624.0,314.0,2
Actros,Actros_3,31B,2072.0,2627.0,555.0,2
Atego (ATP),Atego (ATP)_6,31A,2306.0,2636.0,330.0,1
Accelo,Accelo_2,32C,1913.0,2679.0,766.0,1
Accelo,Accelo_9,30A,2640.0,2893.0,253.0,1
Atego,Atego_8,31B,2624.0,2941.0,317.0,2
Accelo,Accelo_2,33A,2679.0,3048.0,369.0,1
Accelo,Accelo_9,31A,2893.0,3209.0,316.0,1
Accelo,Accelo_10,30B,2970.0,3223.0,253.0,2
Atego (ATP),Atego (ATP)_1,32D,1873.0,3239.0,1366.0,2
Accelo,Accelo_0,34A,2335.0,3271.0,936.0,1
Atego (ATP),Atego (ATP)_6,32A,2636.0,3313.0,677.0,1
Accelo,Accelo_5,32C,2573.0,3392.0,819.0,1
Accelo,Accelo_10,31B,3223.0,3539.0,316.0,2
Accelo,Accelo_11,30A,3300.0,3553.0,253.0,1
Actros,Actros_3,32B,2627.0,3592.0,965.0,2
Accelo,Accelo_9,32A,3209.0,3667.0,458.0,1
Atego (ATP),Atego (ATP)_1,33B,3239.0,3735.0,496.0,2
Accelo,Accelo_5,33A,3392.0,3761.0,369.0,1
Accelo,Accelo_11,31A,3553.0,3869.0,316.0,1
Atego,Atego_8,32B,2941.0,3886.0,945.0,2
Accelo,Accelo_0,38,3271.0,3904.0,633.0,1
Atego (ATP),Atego (ATP)_12,30B,3630.0,3956.0,326.0,2
Accelo,Accelo_10,32B,3539.0,4121.0,582.0,2
Accelo,Accelo_2,34A,3048.0,4207.0,1159.0,1
Accelo,Accelo_11,32A,3869.0,4223.0,354.0,1
Atego (ATP),Atego (ATP)_12,31B,3956.0,4286.0,330.0,2
Accelo,Accelo_17,30A,4290.0,4543.0,253.0,1
Actros,Actros_3,32D,3592.0,4580.0,988.0,2
Accelo,Accelo_2,38,4207.0,4840.0,633.0,1
Atego (ATP),Atego (ATP)_12,32B,4286.0,4843.0,557.0,2
Accelo,Accelo_17,31A,4543.0,4859.0,316.0,1
Atego (ATP),Atego (ATP)_6,32C,3313.0,4878.0,1565.0,1
Atego (ATP),Atego (ATP)_1,34B,3735.0,4932.333333333334,1197.333333333334,2
Atego,Atego_18,30B,4620.0,4934.0,314.0,2
Accelo,Accelo_5,34A,3761.0,5143.0,1382.0,1
Atego,Atego_8,32D,3886.0,5162.0,1276.0,2
Accelo,Accelo_17,32A,4859.0,5213.0,354.0,1
Atego,Atego_18,31B,4934.0,5248.0,314.0,2
Atego (ATP),Atego (ATP)_6,33A,4878.0,5254.0,376.0,1
Atego,Atego_18,32B,5248.0,5542.0,294.0,2
Accelo,Accelo_9,32C,3667.0,5591.0,1924.0,1
Atego (ATP),Atego (ATP)_20,30A,5280.0,5606.0,326.0,1
Actros,Actros_3,33B,4580.0,5695.0,1115.0,2
Accelo,Accelo_10,32D,4121.0,5756.0,1635.0,2
Accelo,Accelo_5,38,5143.0,5776.0,633.0,1
Atego (ATP),Atego (ATP)_1,39,4932.333333333334,5837.666666666667,905.333333333333,2
Accelo,Accelo_21,30B,5610.0,5863.0,253.0,2
Atego (ATP),Atego (ATP)_20,31A,5606.0,5936.0,330.0,1
Accelo,Accelo_9,33A,5591.0,5960.0,369.0,1
Atego (ATP),Atego (ATP)_6,34A,5254.0,6179.0,925.0,1
Accelo,Accelo_21,31B,5863.0,6179.0,316.0,2
Atego,Atego_8,33B,5162.0,6243.0,1081.0,2
Atego,Atego_22,30A,5940.0,6254.0,314.0,1
Accelo,Accelo_21,32B,6179.0,6414.0,235.0,2
Atego,Atego_22,31A,6254.0,6568.0,314.0,1
Actros,Actros_16,32C,3960.0,6579.0,2619.0,1
Atego (ATP),Atego (ATP)_20,32A,5936.0,6613.0,677.0,1
Accelo,Accelo_10,33B,5756.0,6731.0,975.0,2
Atego (ATP),Atego (ATP)_6,38,6179.0,6812.0,633.0,1
Accelo,Accelo_24,30A,6600.0,6853.0,253.0,1
Actros,Actros_16,33A,6579.0,6986.0,407.0,1
Actros,Actros_23,30B,6270.0,7022.0,752.0,2
Atego,Atego_22,32A,6568.0,7027.0,459.0,1
Accelo,Accelo_9,34A,5960.0,7115.0,1155.0,1
Atego (ATP),Atego (ATP)_12,32D,4843.0,7122.0,2279.0,2
Accelo,Accelo_24,31A,6853.0,7169.0,316.0,1
Atego,Atego_25,30A,6930.0,7244.0,314.0,1
Accelo,Accelo_11,32C,4223.0,7292.0,3069.0,1
Accelo,Accelo_24,32A,7169.0,7523.0,354.0,1
Atego,Atego_25,31A,7244.0,7558.0,314.0,1
Actros,Actros_23,31B,7022.0,7577.0,555.0,2
Actros,Actros_16,34A,6986.0,7584.0,598.0,1
Atego (ATP),Atego (ATP)_26,30B,7260.0,7586.0,326.0,2
Atego (ATP),Atego (ATP)_12,33B,7122.0,7618.0,496.0,2
Accelo,Accelo_11,33A,7292.0,7661.0,369.0,1
Atego,Atego_18,32D,5542.0,7704.0,2162.0,2
Accelo,Accelo_9,38,7115.0,7748.0,633.0,1
Accelo,Accelo_27,30A,7590.0,7843.0,253.0,1
Atego (ATP),Atego (ATP)_26,31B,7586.0,7916.0,330.0,2
Atego,Atego_25,32A,7558.0,7972.0,414.0,1
Accelo,Accelo_27,31A,7843.0,8159.0,316.0,1
Atego,Atego_28,30B,7920.0,8234.0,314.0,2
Atego,Atego_18,33B,7704.0,8252.0,548.0,2
Actros,Actros_19,32C,4950.0,8280.0,3330.0,1
Accelo,Accelo_21,32D,6414.0,8298.0,1884.0,2
Actros,Actros_3,34B,5695.0,8472.0,2777.0,2
Accelo,Accelo_27,32A,8159.0,8513.0,354.0,1
Actros,Actros_23,32B,7577.0,8542.0,965.0,2
Atego,Atego_28,31B,8234.0,8548.0,314.0,2
Accelo,Accelo_11,34A,7661.0,8597.0,936.0,1
Actros,Actros_19,33A,8280.0,8687.0,407.0,1
Accelo,Accelo_21,33B,8298.0,8786.0,488.0,2
Atego (ATP),Atego (ATP)_31,30A,8580.0,8906.0,326.0,1
Accelo,Accelo_17,32C,5213.0,8993.0,3780.0,1
Atego (ATP),Atego (ATP)_26,32B,7916.0,9099.0,1183.0,2
Actros,Actros_19,34A,8687.0,9156.0,469.0,1
Actros,Actros_3,39,8472.0,9180.0,708.0,2
Accelo,Accelo_11,38,8597.0,9230.0,633.0,1
Atego (ATP),Atego (ATP)_31,31A,8906.0,9236.0,330.0,1
Accelo,Accelo_17,33A,8993.0,9362.0,369.0,1
Atego,Atego_28,32B,8548.0,9393.0,845.0,2
Actros,Actros_23,32D,8542.0,9530.0,988.0,2
Atego,Atego_33,30A,9240.0,9554.0,314.0,1
Actros,Actros_32,30B,8910.0,9662.0,752.0,2
