modelo,nome,posto,entrada,saida,duracao,perna
Accelo,Accelo_0,30A,330.0,583.0,253.0,1
Accelo,Accelo_0,31A,583.0,899.0,316.0,1
Accelo,Accelo_1,30A,660.0,913.0,253.0,1
Accelo,Accelo_1,31A,913.0,1229.0,316.0,1
Atego,Atego_2,30A,990.0,1304.0,314.0,1
Atego,Atego_2,31A,1304.0,1618.0,314.0,1
Atego,Atego_3,30A,1320.0,1634.0,314.0,1
Atego,Atego_3,31A,1634.0,1948.0,314.0,1
Accelo,Accelo_0,32A,899.0,1967.0,1068.0,1
Atego,Atego_5,30A,1980.0,2294.0,314.0,1
Actros,Actros_4,30B,1650.0,2402.0,752.0,2
Atego,Atego_5,31A,2294.0,2608.0,314.0,1
Atego,Atego_7,30A,2640.0,2954.0,314.0,1
Actros,Actros_4,31B,2402.0,2957.0,555.0,2
Accelo,Accelo_1,32A,1229.0,3035.0,1806.0,1
Atego,Atego_7,31A,2954.0,3268.0,314.0,1
Atego,Atego_8,30A,2970.0,3284.0,314.0,1
Accelo,Accelo_0,32C,1967.0,3546.0,1579.0,1
Accelo,Accelo_9,30A,3300.0,3553.0,253.0,1
Atego,Atego_8,31A,3284.0,3598.0,314.0,1
Accelo,Accelo_9,31A,3553.0,3914.0,361.0,1
Actros,Actros_4,32B,2957.0,3922.0,965.0,2
Atego,Atego_10,30A,3630.0,3944.0,314.0,1
Atego,Atego_2,32A,1618.0,4169.0,2551.0,1
Accelo,Accelo_11,30A,3960.0,4213.0,253.0,1
Atego,Atego_10,31A,3944.0,4258.0,314.0,1
Accelo,Accelo_11,31A,4213.0,4574.0,361.0,1
Accelo,Accelo_13,30A,4620.0,4873.0,253.0,1
Actros,Actros_4,32D,3922.0,4910.0,988.0,2
Actros,Actros_12,30B,4290.0,5042.0,752.0,2
Accelo,Accelo_1,32C,3035.0,5125.0,2090.0,1
Accelo,Accelo_0,33A,3546.0,5129.0,1583.0,1
Accelo,Accelo_13,31A,4873.0,5189.0,316.0,1
Atego,Atego_14,30A,4950.0,5264.0,314.0,1
Atego,Atego_3,32A,1948.0,5303.0,3355.0,1
Atego (ATP),Atego (ATP)_6,32A,2310.0,5423.0,3113.0,1
Atego,Atego_14,31A,5264.0,5578.0,314.0,1
Atego,Atego_15,30A,5280.0,5594.0,314.0,1
Actros,Actros_12,31B,5042.0,5597.0,555.0,2
Atego,Atego_15,31A,5594.0,5908.0,314.0,1
Atego,Atego_16,30A,5610.0,5924.0,314.0,1
Atego,Atego_16,31A,5924.0,6238.0,314.0,1
Atego,Atego_5,32A,2608.0,6557.0,3949.0,1
Actros,Actros_12,32B,5597.0,6562.0,965.0,2
Atego 8x2 e 8x4,Atego 8x2 e 8x4_18,30B,6270.0,6584.0,314.0,2
Accelo,Accelo_0,34A,5129.0,6605.0,1476.0,1
Atego,Atego_2,32C,4169.0,6704.5,2535.5,1
Accelo,Accelo_1,33A,5125.0,6712.0,1587.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_18,31B,6584.0,6898.0,314.0,2
Atego,Atego_19,30A,6600.0,6914.0,314.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_18,32B,6898.0,7192.0,294.0,2
Atego,Atego_19,31A,6914.0,7228.0,314.0,1
Actros,Actros_12,32D,6562.0,7550.0,988.0,2
Atego,Atego_21,30A,7260.0,7574.0,314.0,1
Accelo,Accelo_0,38,6605.0,7626.0,1021.0,1
Actros,Actros_20,30B,6930.0,7682.0,752.0,2
Atego,Atego_7,32A,3268.0,7691.0,4423.0,1
Atego,Atego_21,31A,7574.0,7888.0,314.0,1
Accelo,Accelo_1,34A,6712.0,8188.0,1476.0,1
Atego,Atego_23,30A,7920.0,8234.0,314.0,1
Actros,Actros_20,31B,7682.0,8237.0,555.0,2
Atego,Atego_3,32C,5303.0,8284.0,2981.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_18,32D,7192.0,8447.0,1255.0,2
Atego,Atego_2,33A,6704.5,8476.0,1771.5,1
Atego,Atego_23,31A,8234.0,8548.0,314.0,1
Atego,Atego_24,30A,8250.0,8564.0,314.0,1
Atego (ATP),Atego (ATP)_6,32C,5423.0,8565.5,3142.5,1
Atego,Atego_8,32A,3598.0,8825.0,5227.0,1
Atego,Atego_24,31A,8564.0,8878.0,314.0,1
Accelo,Accelo_26,30A,8910.0,9163.0,253.0,1
Actros,Actros_20,32B,8237.0,9202.0,965.0,2
Accelo,Accelo_1,38,8188.0,9209.0,1021.0,1
Actros,Actros_25,30B,8580.0,9332.0,752.0,2
Actros,Actros_4,33B,4910.0,9370.0,4460.0,2
Accelo,Accelo_26,31A,9163.0,9479.0,316.0,1
Accelo,Accelo_27,30A,9240.0,9493.0,253.0,1
Accelo,Accelo_27,31A,9493.0,9809.0,316.0,1
Actros,Actros_25,31B,9332.0,9887.0,555.0,2
Accelo,Accelo_9,32A,3914.0,9893.0,5979.0,1
Atego,Atego_2,34A,8476.0,9942.5,1466.5,1
Atego,Atego_5,32C,6557.0,10145.0,3588.0,1
Accelo,Accelo_29,30A,9900.0,10153.0,253.0,1
Actros,Actros_20,32D,9202.0,10190.0,988.0,2
Atego,Atego_3,33A,8284.0,10240.0,1956.0,1
Accelo,Accelo_29,31A,10153.0,10469.0,316.0,1
Atego (ATP),Atego (ATP)_6,33A,8565.5,10616.0,2050.5,1
Actros,Actros_25,32B,9887.0,10852.0,965.0,2
Atego,Atego_31,30A,10560.0,10874.0,314.0,1
Atego,Atego_2,38,9942.5,10963.5,1021.0,1
Actros,Actros_30,30B,10230.0,10982.0,752.0,2
Atego,Atego_10,32A,4258.0,11027.0,6769.0,1
Atego,Atego_31,31A,10874.0,11188.0,314.0,1
Atego,Atego_32,30A,10890.0,11204.0,314.0,1
Atego,Atego_32,31A,11204.0,11518.0,314.0,1
Actros,Actros_30,31B,10982.0,11537.0,555.0,2
Atego,Atego_3,34A,10240.0,11706.5,1466.5,1
Atego,Atego_7,32C,7691.0,11724.5,4033.5,1
Accelo,Accelo_34,30A,11550.0,11803.0,253.0,1
Actros,Actros_25,32D,10852.0,11840.0,988.0,2
Atego (ATP),Atego (ATP)_6,34A,10616.0,11965.0,1349.0,1
Accelo,Accelo_11,32A,4574.0,12095.0,7521.0,1
Accelo,Accelo_34,31A,11803.0,12119.0,316.0,1
Accelo,Accelo_35,30A,11880.0,12133.0,253.0,1
Atego,Atego_5,33A,10145.0,12380.0,2235.0,1
Accelo,Accelo_35,31A,12133.0,12449.0,316.0,1
Actros,Actros_30,32B,11537.0,12502.0,965.0,2
Atego,Atego_36,30A,12210.0,12524.0,314.0,1
Atego,Atego_3,38,11706.5,12727.5,1021.0,1
Atego (ATP),Atego (ATP)_6,38,11965.0,12824.5,859.5,1
Atego,Atego_36,31A,12524.0,12838.0,314.0,1
Atego,Atego_37,30A,12540.0,12854.0,314.0,1
Accelo,Accelo_13,32A,5189.0,13163.0,7974.0,1
Atego,Atego_37,31A,12854.0,13168.0,314.0,1
Atego,Atego_38,30A,12870.0,13184.0,314.0,1
Atego,Atego_8,32C,8825.0,13304.0,4479.0,1
Actros,Actros_30,32D,12502.0,13490.0,988.0,2
Atego,Atego_38,31A,13184.0,13498.0,314.0,1
Actros,Actros_12,33B,7550.0,13830.0,6280.0,2
Atego 8x2 e 8x4,Atego 8x2 e 8x4_40,30B,13530.0,13844.0,314.0,2
Atego,Atego_5,34A,12380.0,13846.5,1466.5,1
Accelo,Accelo_41,30A,13860.0,14113.0,253.0,1
Atego,Atego_7,33A,11724.5,14144.0,2419.5,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_40,31B,13844.0,14158.0,314.0,2
Atego,Atego_14,32A,5578.0,14297.0,8719.0,1
Accelo,Accelo_41,31A,14113.0,14429.0,316.0,1
