modelo,nome,posto,entrada,saida,duracao,perna
Atego (ATP),Atego (ATP)_0,30B,330.0,656.0,326.0,2
Atego,Atego_1,30A,660.0,974.0,314.0,1
Atego (ATP),Atego (ATP)_0,31B,656.0,986.0,330.0,2
Atego,Atego_1,31A,974.0,1288.0,314.0,1
Atego,Atego_2,30A,990.0,1304.0,314.0,1
Atego (ATP),Atego (ATP)_0,32B,986.0,1543.0,557.0,2
Atego,Atego_2,31A,1304.0,1618.0,314.0,1
Accelo,Accelo_4,30A,1650.0,1903.0,253.0,1
Actros,Actros_3,30B,1320.0,2072.0,752.0,2
Accelo,Accelo_4,31A,1903.0,2219.0,316.0,1
Accelo,Accelo_5,30A,1980.0,2233.0,253.0,1
Atego,Atego_1,32A,1288.0,2422.0,1134.0,1
Accelo,Accelo_5,31A,2233.0,2549.0,316.0,1
Atego,Atego_6,30A,2310.0,2624.0,314.0,1
Actros,Actros_3,31B,2072.0,2627.0,555.0,2
Atego,Atego_6,31A,2624.0,2938.0,314.0,1
Atego (ATP),Atego (ATP)_7,30B,2640.0,2966.0,326.0,2
Atego,Atego_8,30A,2970.0,3284.0,314.0,1
Atego (ATP),Atego (ATP)_7,31B,2966.0,3296.0,330.0,2
Atego,Atego_2,32A,1618.0,3556.0,1938.0,1
Actros,Actros_3,32B,2627.0,3592.0,965.0,2
Atego,Atego_8,31A,3284.0,3598.0,314.0,1
Atego,Atego_9,30A,3300.0,3614.0,314.0,1
Atego (ATP),Atego (ATP)_0,32D,1543.0,3685.0,2142.0,2
Atego,Atego_9,31A,3614.0,3928.0,314.0,1
Atego,Atego_1,32C,2422.0,4001.5,1579.5,1
Atego (ATP),Atego (ATP)_7,32B,3296.0,4149.0,853.0,2
Actros,Actros_10,30B,3630.0,4382.0,752.0,2
Accelo,Accelo_4,32A,2219.0,4624.0,2405.0,1
Actros,Actros_3,32D,3592.0,4673.0,1081.0,2
Actros,Actros_10,31B,4382.0,4937.0,555.0,2
Atego,Atego_12,30A,4712.0,5026.0,314.0,1
Actros,Actros_11,30B,4382.0,5134.0,752.0,2
Accelo,Accelo_13,30A,5042.0,5295.0,253.0,1
Atego,Atego_12,31A,5026.0,5340.0,314.0,1
Atego,Atego_2,32C,3556.0,5581.0,2025.0,1
Accelo,Accelo_13,31A,5295.0,5656.0,361.0,1
Atego (ATP),Atego (ATP)_0,33B,3685.0,5669.0,1984.0,2
Actros,Actros_11,31B,5134.0,5689.0,555.0,2
Accelo,Accelo_5,32A,2549.0,5692.0,3143.0,1
Atego (ATP),Atego (ATP)_14,30B,5372.0,5698.0,326.0,2
Atego,Atego_1,33A,4001.5,5765.5,1764.0,1
Actros,Actros_10,32B,4937.0,5902.0,965.0,2
Accelo,Accelo_15,30A,5702.0,5955.0,253.0,1
Atego (ATP),Atego (ATP)_14,31B,5698.0,6028.0,330.0,2
Accelo,Accelo_15,31A,5955.0,6271.0,316.0,1
Atego,Atego_16,30A,6032.0,6346.0,314.0,1
Atego,Atego_16,31A,6346.0,6660.0,314.0,1
Atego,Atego_17,30A,6362.0,6676.0,314.0,1
Atego (ATP),Atego (ATP)_7,32D,4149.0,6815.0,2666.0,2
Atego,Atego_6,32A,2938.0,6826.0,3888.0,1
Actros,Actros_11,32B,5689.0,6867.0,1178.0,2
Accelo,Accelo_18,30A,6692.0,6945.0,253.0,1
Atego,Atego_17,31A,6676.0,6990.0,314.0,1
Accelo,Accelo_4,32C,4624.0,7160.0,2536.0,1
Atego,Atego_1,34A,5765.5,7232.0,1466.5,1
Accelo,Accelo_18,31A,6945.0,7306.0,361.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_19,30B,7022.0,7336.0,314.0,2
Atego (ATP),Atego (ATP)_14,32B,6028.0,7424.0,1396.0,2
Atego,Atego_2,33A,5581.0,7529.5,1948.5,1
Accelo,Accelo_20,30A,7352.0,7605.0,253.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_19,31B,7336.0,7650.0,314.0,2
Actros,Actros_10,32D,5902.0,7803.0,1901.0,2
