modelo,nome,posto,entrada,saida,duracao,perna
Accelo,Accelo_0,30A,330.0,583.0,253.0,1
Accelo,Accelo_0,31A,583.0,899.0,316.0,1
Accelo,Accelo_1,30B,660.0,913.0,253.0,2
Accelo,Accelo_1,31B,913.0,1229.0,316.0,2
Accelo,Accelo_0,32A,899.0,1253.0,354.0,1
Atego,Atego_3,30A,990.0,1304.0,314.0,1
Accelo,Accelo_1,32B,1229.0,1464.0,235.0,2
Atego,Atego_3,31A,1304.0,1618.0,314.0,1
Accelo,Accelo_0,32C,1253.0,1966.0,713.0,1
Atego (ATP),Atego (ATP)_6,30A,1650.0,1976.0,326.0,1
Atego,Atego_3,32A,1618.0,2032.0,414.0,1
Accelo,Accelo_1,32D,1464.0,2058.0,594.0,2
Actros,Actros_4,30B,1320.0,2072.0,752.0,2
Atego,Atego_7,30A,1980.0,2294.0,314.0,1
Atego (ATP),Atego (ATP)_6,31A,1976.0,2306.0,330.0,1
Accelo,Accelo_0,33A,1966.0,2335.0,369.0,1
Accelo,Accelo_1,33B,2058.0,2546.0,488.0,2
Atego,Atego_7,31A,2294.0,2620.0,326.0,1
Atego,Atego_8,30B,2310.0,2624.0,314.0,2
Actros,Actros_4,31B,2072.0,2627.0,555.0,2
Atego,Atego_3,32C,2032.0,2734.0,702.0,1
Accelo,Accelo_9,30A,2640.0,2893.0,253.0,1
Atego,Atego_8,31B,2624.0,2941.0,317.0,2
Atego (ATP),Atego (ATP)_6,32A,2306.0,2983.0,677.0,1
Atego,Atego_3,33A,2734.0,3162.0,428.0,1
Accelo,Accelo_9,31A,2893.0,3209.0,316.0,1
Accelo,Accelo_11,30B,2970.0,3223.0,253.0,2
Accelo,Accelo_0,34A,2335.0,3271.0,936.0,1
Atego,Atego_7,32A,2620.0,3397.0,777.0,1
Accelo,Accelo_11,31B,3223.0,3539.0,316.0,2
Actros,Actros_4,32B,2627.0,3592.0,965.0,2
Accelo,Accelo_9,32A,3209.0,3751.0,542.0,1
Accelo,Accelo_1,34B,2546.0,3752.3333333333335,1206.3333333333335,2
Accelo,Accelo_13,30A,3630.0,3883.0,253.0,1
Atego,Atego_8,32B,2941.0,3886.0,945.0,2
Accelo,Accelo_0,38,3271.0,3904.0,633.0,1
Accelo,Accelo_11,32B,3539.0,4121.0,582.0,2
Atego,Atego_3,34A,3162.0,4192.0,1030.0,1
Accelo,Accelo_13,31A,3883.0,4199.0,316.0,1
Atego,Atego_14,30B,3960.0,4274.0,314.0,2
Atego (ATP),Atego (ATP)_6,32C,2983.0,4469.0,1486.0,1
Accelo,Accelo_13,32A,4199.0,4553.0,354.0,1
Actros,Actros_4,32D,3592.0,4580.0,988.0,2
Atego,Atego_14,31B,4274.0,4588.0,314.0,2
Atego,Atego_15,30A,4290.0,4604.0,314.0,1
Accelo,Accelo_1,39,3752.3333333333335,4655.666666666667,903.3333333333335,2
Atego,Atego_3,38,4192.0,4825.0,633.0,1
Atego (ATP),Atego (ATP)_6,33A,4469.0,4845.0,376.0,1
Atego,Atego_14,32B,4588.0,4882.0,294.0,2
Atego,Atego_15,31A,4604.0,4918.0,314.0,1
Atego (ATP),Atego (ATP)_17,30B,4620.0,4946.0,326.0,2
Atego,Atego_8,32D,3886.0,5162.0,1276.0,2
Atego,Atego_19,30A,4950.0,5264.0,314.0,1
Atego (ATP),Atego (ATP)_17,31B,4946.0,5276.0,330.0,2
Atego,Atego_15,32A,4918.0,5332.0,414.0,1
Actros,Actros_12,32C,3300.0,5457.0,2157.0,1
Atego,Atego_19,31A,5264.0,5578.0,314.0,1
Actros,Actros_4,33B,4580.0,5695.0,1115.0,2
Accelo,Accelo_11,32D,4121.0,5756.0,1635.0,2
Atego (ATP),Atego (ATP)_6,34A,4845.0,5770.0,925.0,1
Atego (ATP),Atego (ATP)_17,32B,5276.0,5833.0,557.0,2
Actros,Actros_12,33A,5457.0,5864.0,407.0,1
Atego,Atego_21,30A,5610.0,5924.0,314.0,1
Atego,Atego_19,32A,5578.0,5992.0,414.0,1
Actros,Actros_20,30B,5280.0,6032.0,752.0,2
Atego,Atego_7,32C,3397.0,6159.0,2762.0,1
Atego,Atego_21,31A,5924.0,6238.0,314.0,1
Atego,Atego_8,33B,5162.0,6243.0,1081.0,2
Atego (ATP),Atego (ATP)_22,30A,5940.0,6266.0,326.0,1
Actros,Actros_12,34A,5864.0,6333.0,469.0,1
Atego,Atego_14,32D,4882.0,6338.0,1456.0,2
Atego (ATP),Atego (ATP)_6,38,5770.0,6403.0,633.0,1
Atego,Atego_24,30B,6270.0,6584.0,314.0,2
Actros,Actros_20,31B,6032.0,6587.0,555.0,2
Atego,Atego_7,33A,6159.0,6587.0,428.0,1
Atego (ATP),Atego (ATP)_22,31A,6266.0,6596.0,330.0,1
Atego,Atego_21,32A,6238.0,6652.0,414.0,1
Accelo,Accelo_11,33B,5756.0,6731.0,975.0,2
Accelo,Accelo_9,32C,3751.0,6872.0,3121.0,1
Atego,Atego_24,31B,6584.0,6901.0,317.0,2
Accelo,Accelo_26,30A,6930.0,7183.0,253.0,1
Accelo,Accelo_9,33A,6872.0,7241.0,369.0,1
Atego,Atego_14,33B,6338.0,7279.0,941.0,2
Atego (ATP),Atego (ATP)_22,32A,6596.0,7329.0,733.0,1
Accelo,Accelo_26,31A,7183.0,7499.0,316.0,1
Atego,Atego_7,34A,6587.0,7508.0,921.0,1
Accelo,Accelo_27,30B,7260.0,7513.0,253.0,2
Actros,Actros_20,32B,6587.0,7552.0,965.0,2
Accelo,Accelo_13,32C,4553.0,7585.0,3032.0,1
Atego (ATP),Atego (ATP)_17,32D,5833.0,7704.0,1871.0,2
Accelo,Accelo_27,31B,7513.0,7829.0,316.0,2
Atego,Atego_24,32B,6901.0,7846.0,945.0,2
Accelo,Accelo_26,32A,7499.0,7853.0,354.0,1
Atego (ATP),Atego (ATP)_28,30A,7590.0,7916.0,326.0,1
Accelo,Accelo_13,33A,7585.0,7954.0,369.0,1
Accelo,Accelo_27,32B,7829.0,8081.0,252.0,2
Atego,Atego_7,38,7508.0,8141.0,633.0,1
Accelo,Accelo_29,30B,7920.0,8173.0,253.0,2
Atego (ATP),Atego (ATP)_17,33B,7704.0,8200.0,496.0,2
Atego (ATP),Atego (ATP)_28,31A,7916.0,8246.0,330.0,1
Atego,Atego_15,32C,5332.0,8287.0,2955.0,1
Accelo,Accelo_9,34A,7241.0,8444.0,1203.0,1
Actros,Actros_4,34B,5695.0,8472.0,2777.0,2
Accelo,Accelo_29,31B,8173.0,8489.0,316.0,2
Actros,Actros_20,32D,7552.0,8692.0,1140.0,2
Atego,Atego_15,33A,8287.0,8715.0,428.0,1
Accelo,Accelo_29,32B,8489.0,8724.0,235.0,2
Atego,Atego_32,30A,8580.0,8894.0,314.0,1
Atego (ATP),Atego (ATP)_28,32A,8246.0,8923.0,677.0,1
Atego,Atego_19,32C,5992.0,8989.0,2997.0,1
Accelo,Accelo_9,38,8444.0,9077.0,633.0,1
Actros,Actros_4,39,8472.0,9180.0,708.0,2
Atego,Atego_32,31A,8894.0,9208.0,314.0,1
Atego (ATP),Atego (ATP)_33,30B,8910.0,9236.0,326.0,2
Atego,Atego_24,32D,7846.0,9274.0,1428.0,2
Accelo,Accelo_13,34A,7954.0,9380.0,1426.0,1
Atego,Atego_19,33A,8989.0,9417.0,428.0,1
Accelo,Accelo_34,30A,9240.0,9493.0,253.0,1
Atego (ATP),Atego (ATP)_33,31B,9236.0,9566.0,330.0,2
Atego,Atego_32,32A,9208.0,9622.0,414.0,1
Atego,Atego_8,34B,6243.0,9665.333333333334,3422.333333333334,2
Actros,Actros_20,33B,8692.0,9807.0,1115.0,2
Accelo,Accelo_34,31A,9493.0,9809.0,316.0,1
Accelo,Accelo_35,30B,9570.0,9823.0,253.0,2
