modelo,nome,posto,perna,fila,processo,entrada,saida,duracao
Accelo,Accelo_0,30A,1,0.0,253.0,330.0,583.0,253.0
Accelo,Accelo_0,31A,1,0.0,316.0,583.0,899.0,316.0
Accelo,Accelo_1,30A,1,0.0,253.0,660.0,913.0,253.0
Accelo,Accelo_1,31A,1,0.0,316.0,913.0,1229.0,316.0
Accelo,Accelo_0,32A,1,0.0,354.0,899.0,1253.0,354.0
Atego,Atego_2,30A,1,0.0,314.0,990.0,1304.0,314.0
Accelo,Accelo_1,32A,1,24.0,354.0,1253.0,1607.0,354.0
Atego,Atego_2,31A,1,0.0,314.0,1304.0,1618.0,314.0
Atego,Atego_3,30A,1,0.0,314.0,1320.0,1634.0,314.0
Accelo,Accelo_0,32C,1,0.0,561.0,1253.0,1814.0,561.0
Atego,Atego_3,31A,1,0.0,314.0,1634.0,1948.0,314.0
Atego,Atego_2,32A,1,0.0,414.0,1618.0,2032.0,414.0
Accelo,Accelo_0,33A,1,0.0,369.0,1814.0,2183.0,369.0
Atego,Atego_5,30A,1,0.0,314.0,1980.0,2294.0,314.0
Accelo,Accelo_1,32C,1,207.0,561.0,1814.0,2375.0,561.0
Actros,Actros_4,30B,2,0.0,752.0,1650.0,2402.0,752.0
Atego,Atego_3,32A,1,84.0,414.0,2032.0,2446.0,414.0
Atego,Atego_5,31A,1,0.0,314.0,2294.0,2608.0,314.0
Atego (ATP),Atego (ATP)_6,30A,1,0.0,326.0,2310.0,2636.0,326.0
Accelo,Accelo_1,33A,1,0.0,369.0,2375.0,2744.0,369.0
Accelo,Accelo_0,34A,1,0.0,671.0,2183.0,2854.0,671.0
Atego,Atego_2,32C,1,343.0,544.0,2375.0,2919.0,544.0
Atego,Atego_7,30A,1,0.0,314.0,2640.0,2954.0,314.0
Actros,Actros_4,31B,2,0.0,555.0,2402.0,2957.0,555.0
Atego (ATP),Atego (ATP)_6,31A,1,0.0,330.0,2636.0,2966.0,330.0
Atego,Atego_5,32A,1,0.0,414.0,2608.0,3022.0,414.0
Atego,Atego_7,31A,1,12.0,314.0,2966.0,3280.0,314.0
Atego,Atego_8,30A,1,0.0,314.0,2970.0,3284.0,314.0
Atego,Atego_2,33A,1,0.0,428.0,2919.0,3347.0,428.0
Atego,Atego_3,32C,1,473.0,544.0,2919.0,3463.0,544.0
Accelo,Accelo_0,38,1,0.0,633.0,2854.0,3487.0,633.0
Accelo,Accelo_1,34A,1,110.0,671.0,2854.0,3525.0,671.0
Accelo,Accelo_9,30A,1,0.0,253.0,3300.0,3553.0,253.0
Atego,Atego_8,31A,1,0.0,314.0,3284.0,3598.0,314.0
Atego (ATP),Atego (ATP)_6,32A,1,56.0,677.0,3022.0,3699.0,677.0
Atego,Atego_3,33A,1,0.0,428.0,3463.0,3891.0,428.0
Accelo,Accelo_9,31A,1,45.0,316.0,3598.0,3914.0,316.0
Actros,Actros_4,32B,2,0.0,965.0,2957.0,3922.0,965.0
Atego,Atego_10,30A,1,0.0,314.0,3630.0,3944.0,314.0
Atego,Atego_5,32C,1,441.0,544.0,3463.0,4007.0,544.0
