modelo,nome,posto,entrada,saida,duracao,perna
Accelo,Accelo_0,30A,330.0,583.0,253.0,1
Accelo,Accelo_0,31A,583.0,899.0,316.0,1
Accelo,Accelo_0,32A,899.0,1253.0,354.0,1
Atego,Atego_2,30A,990.0,1304.0,314.0,1
Actros,Actros_1,30B,660.0,1412.0,752.0,2
Accelo,Accelo_3,30A,1320.0,1573.0,253.0,1
Atego,Atego_2,31A,1304.0,1618.0,314.0,1
Accelo,Accelo_3,31A,1573.0,1934.0,361.0,1
Accelo,Accelo_0,32C,1253.0,1966.0,713.0,1
Actros,Actros_1,31B,1412.0,1967.0,555.0,2
Atego (ATP),Atego (ATP)_4,30B,1650.0,1976.0,326.0,2
Atego,Atego_2,32A,1618.0,2032.0,414.0,1
Accelo,Accelo_7,30A,1980.0,2233.0,253.0,1
Atego (ATP),Atego (ATP)_4,31B,1976.0,2306.0,330.0,2
Accelo,Accelo_0,33A,1966.0,2335.0,369.0,1
Accelo,Accelo_3,32A,1934.0,2386.0,452.0,1
Accelo,Accelo_7,31A,2233.0,2549.0,316.0,1
Atego,Atego_2,32C,2032.0,2734.0,702.0,1
Accelo,Accelo_10,30A,2640.0,2893.0,253.0,1
Accelo,Accelo_7,32A,2549.0,2903.0,354.0,1
Actros,Actros_1,32B,1967.0,2932.0,965.0,2
Actros,Actros_8,30B,2310.0,3062.0,752.0,2
Atego,Atego_2,33A,2734.0,3162.0,428.0,1
Accelo,Accelo_10,31A,2893.0,3209.0,316.0,1
Accelo,Accelo_0,34A,2335.0,3271.0,936.0,1
Atego (ATP),Atego (ATP)_11,30A,2970.0,3296.0,326.0,1
Accelo,Accelo_3,32C,2386.0,3447.0,1061.0,1
Atego (ATP),Atego (ATP)_4,32B,2306.0,3489.0,1183.0,2
Accelo,Accelo_12,30B,3300.0,3553.0,253.0,2
Accelo,Accelo_10,32A,3209.0,3563.0,354.0,1
Actros,Actros_8,31B,3062.0,3617.0,555.0,2
Atego (ATP),Atego (ATP)_11,31A,3296.0,3626.0,330.0,1
Accelo,Accelo_3,33A,3447.0,3816.0,369.0,1
Accelo,Accelo_0,38,3271.0,3904.0,633.0,1
Actros,Actros_1,32D,2932.0,3920.0,988.0,2
Accelo,Accelo_12,31B,3553.0,3933.0,380.0,2
Accelo,Accelo_7,32C,2903.0,4160.0,1257.0,1
Atego,Atego_2,34A,3162.0,4192.0,1030.0,1
Atego,Atego_15,30A,3960.0,4274.0,314.0,1
Atego (ATP),Atego (ATP)_11,32A,3626.0,4303.0,677.0,1
Accelo,Accelo_7,33A,4160.0,4529.0,369.0,1
Accelo,Accelo_17,30B,4290.0,4543.0,253.0,2
Actros,Actros_8,32B,3617.0,4582.0,965.0,2
Atego,Atego_15,31A,4274.0,4588.0,314.0,1
Accelo,Accelo_12,32B,3933.0,4817.0,884.0,2
Atego,Atego_2,38,4192.0,4825.0,633.0,1
Accelo,Accelo_17,31B,4543.0,4859.0,316.0,2
Accelo,Accelo_10,32C,3563.0,4873.0,1310.0,1
Atego,Atego_15,32A,4588.0,5002.0,414.0,1
Actros,Actros_1,33B,3920.0,5035.0,1115.0,2
Accelo,Accelo_17,32B,4859.0,5094.0,235.0,2
Accelo,Accelo_3,34A,3816.0,5128.0,1312.0,1
Accelo,Accelo_10,33A,4873.0,5242.0,369.0,1
Atego (ATP),Atego (ATP)_21,30A,4950.0,5276.0,326.0,1
Atego (ATP),Atego (ATP)_4,32D,3489.0,5286.0,1797.0,2
Atego,Atego_22,30B,5280.0,5594.0,314.0,2
Atego (ATP),Atego (ATP)_21,31A,5276.0,5606.0,330.0,1
Accelo,Accelo_3,38,5128.0,5761.0,633.0,1
Atego (ATP),Atego (ATP)_4,33B,5286.0,5782.0,496.0,2
Actros,Actros_14,32C,3630.0,5861.0,2231.0,1
Atego,Atego_22,31B,5594.0,5908.0,314.0,2
Atego,Atego_23,30A,5610.0,5924.0,314.0,1
Accelo,Accelo_7,34A,4529.0,6064.0,1535.0,1
Atego,Atego_22,32B,5908.0,6202.0,294.0,2
Atego,Atego_23,31A,5924.0,6238.0,314.0,1
Actros,Actros_14,33A,5861.0,6268.0,407.0,1
Actros,Actros_8,32D,4582.0,6274.0,1692.0,2
Atego (ATP),Atego (ATP)_21,32A,5606.0,6283.0,677.0,1
Accelo,Accelo_25,30A,6270.0,6523.0,253.0,1
Actros,Actros_24,30B,5940.0,6692.0,752.0,2
Accelo,Accelo_7,38,6064.0,6697.0,633.0,1
Atego,Atego_23,32A,6238.0,6697.0,459.0,1
Accelo,Accelo_25,31A,6523.0,6839.0,316.0,1
Accelo,Accelo_12,32D,4817.0,6868.0,2051.0,2
Atego (ATP),Atego (ATP)_29,30A,6600.0,6926.0,326.0,1
Accelo,Accelo_10,34A,5242.0,7000.0,1758.0,1
Accelo,Accelo_25,32A,6839.0,7193.0,354.0,1
Actros,Actros_24,31B,6692.0,7247.0,555.0,2
Atego (ATP),Atego (ATP)_29,31A,6926.0,7256.0,330.0,1
Atego (ATP),Atego (ATP)_30,30B,6930.0,7256.0,326.0,2
Atego (ATP),Atego (ATP)_11,32C,4303.0,7347.0,3044.0,1
Actros,Actros_8,33B,6274.0,7389.0,1115.0,2
Accelo,Accelo_17,32D,5094.0,7462.0,2368.0,2
Actros,Actros_14,34A,6268.0,7469.0,1201.0,1
Accelo,Accelo_32,30A,7260.0,7513.0,253.0,1
Atego (ATP),Atego (ATP)_30,31B,7256.0,7586.0,330.0,2
Accelo,Accelo_10,38,7000.0,7633.0,633.0,1
Atego (ATP),Atego (ATP)_11,33A,7347.0,7723.0,376.0,1
Actros,Actros_1,34B,5035.0,7812.0,2777.0,2
Accelo,Accelo_32,31A,7513.0,7829.0,316.0,1
Accelo,Accelo_12,33B,6868.0,7877.0,1009.0,2
Atego (ATP),Atego (ATP)_29,32A,7256.0,7933.0,677.0,1
Atego,Atego_22,32D,6202.0,8044.0,1842.0,2
Actros,Actros_24,32B,7247.0,8212.0,965.0,2
Atego,Atego_34,30A,7920.0,8234.0,314.0,1
Accelo,Accelo_32,32A,7829.0,8287.0,458.0,1
Actros,Actros_19,32C,4620.0,8335.0,3715.0,1
Actros,Actros_33,30B,7590.0,8342.0,752.0,2
Accelo,Accelo_17,33B,7462.0,8365.0,903.0,2
Actros,Actros_1,39,7812.0,8520.0,708.0,2
Atego,Atego_34,31A,8234.0,8548.0,314.0,1
Atego (ATP),Atego (ATP)_11,34A,7723.0,8648.0,925.0,1
Actros,Actros_19,33A,8335.0,8742.0,407.0,1
Atego (ATP),Atego (ATP)_30,32B,7586.0,8769.0,1183.0,2
Accelo,Accelo_37,30A,8580.0,8833.0,253.0,1
Actros,Actros_33,31B,8342.0,8897.0,555.0,2
Atego,Atego_22,33B,8044.0,8913.0,869.0,2
Atego,Atego_34,32A,8548.0,8962.0,414.0,1
Atego (ATP),Atego (ATP)_4,34B,5782.0,9009.333333333334,3227.333333333334,2
Atego,Atego_15,32C,5002.0,9037.0,4035.0,1
Accelo,Accelo_37,31A,8833.0,9149.0,316.0,1
Actros,Actros_24,32D,8212.0,9200.0,988.0,2
Actros,Actros_19,34A,8742.0,9211.0,469.0,1
Atego (ATP),Atego (ATP)_39,30B,8910.0,9236.0,326.0,2
Atego (ATP),Atego (ATP)_11,38,8648.0,9281.0,633.0,1
Atego,Atego_15,33A,9037.0,9465.0,428.0,1
Accelo,Accelo_40,30A,9240.0,9493.0,253.0,1
Accelo,Accelo_37,32A,9149.0,9503.0,354.0,1
Atego (ATP),Atego (ATP)_39,31B,9236.0,9566.0,330.0,2
Accelo,Accelo_40,31A,9493.0,9809.0,316.0,1
Accelo,Accelo_41,30B,9570.0,9823.0,253.0,2
Actros,Actros_33,32B,8897.0,9862.0,965.0,2
