modelo,nome,posto,entrada,saida,duracao,perna
Atego (ATP),Atego (ATP)_0,30A,330.0,656.0,326.0,1
Atego (ATP),Atego (ATP)_0,31A,656.0,986.0,330.0,1
Accelo,Accelo_4,30A,990.0,1243.0,253.0,1
Actros,Actros_3,30B,660.0,1412.0,752.0,2
Accelo,Accelo_4,31A,1243.0,1559.0,316.0,1
Accelo,Accelo_5,30A,1320.0,1573.0,253.0,1
Atego (ATP),Atego (ATP)_0,32A,986.0,1663.0,677.0,1
Accelo,Accelo_5,31A,1573.0,1889.0,316.0,1
Atego,Atego_6,30B,1650.0,1964.0,314.0,2
Actros,Actros_3,31B,1412.0,1967.0,555.0,2
Accelo,Accelo_4,32A,1559.0,2017.0,458.0,1
Atego,Atego_6,31B,1964.0,2281.0,317.0,2
Atego (ATP),Atego (ATP)_7,30A,1980.0,2306.0,326.0,1
Accelo,Accelo_5,32A,1889.0,2371.0,482.0,1
Atego,Atego_9,30B,2310.0,2624.0,314.0,2
Atego (ATP),Atego (ATP)_7,31A,2306.0,2636.0,330.0,1
Atego (ATP),Atego (ATP)_0,32C,1663.0,2854.0,1191.0,1
Actros,Actros_3,32B,1967.0,2932.0,965.0,2
Atego,Atego_9,31B,2624.0,2938.0,314.0,2
Atego,Atego_6,32B,2281.0,3226.0,945.0,2
Atego (ATP),Atego (ATP)_0,33A,2854.0,3230.0,376.0,1
Atego (ATP),Atego (ATP)_7,32A,2636.0,3313.0,677.0,1
Atego,Atego_9,32B,2938.0,3520.0,582.0,2
Accelo,Accelo_4,32C,2017.0,3567.0,1550.0,1
Actros,Actros_3,32D,2932.0,3920.0,988.0,2
Accelo,Accelo_4,33A,3567.0,3936.0,369.0,1
Atego (ATP),Atego (ATP)_0,34A,3230.0,4155.0,925.0,1
Atego,Atego_12,30A,3958.0,4272.0,314.0,1
Accelo,Accelo_5,32C,2371.0,4280.0,1909.0,1
Atego,Atego_6,32D,3226.0,4502.0,1276.0,2
Accelo,Accelo_13,30B,4288.0,4541.0,253.0,2
Atego,Atego_12,31A,4272.0,4586.0,314.0,1
